Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-09-19,2024-09-25 01:47 CEST,BIS,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/D.N.B.US?view=chart,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/D.N.B.US?view=chart&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-22,F:Free,,A:Normal value,77.74
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-23,F:Free,,A:Normal value,77.71
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-24,F:Free,,A:Normal value,77.93
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-25,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-26,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-27,F:Free,,A:Normal value,77.93
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-28,F:Free,,A:Normal value,78.09
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-29,F:Free,,A:Normal value,78.12
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-30,F:Free,,A:Normal value,77.65
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-05-31,F:Free,,A:Normal value,77.84
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-01,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-02,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-03,F:Free,,A:Normal value,77.67
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-04,F:Free,,A:Normal value,77.8
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-05,F:Free,,A:Normal value,77.9
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-06,F:Free,,A:Normal value,77.85
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-07,F:Free,,A:Normal value,77.85
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-08,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-09,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-10,F:Free,,A:Normal value,78.03
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-11,F:Free,,A:Normal value,78.14
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-12,F:Free,,A:Normal value,78.12
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-13,F:Free,,A:Normal value,78.2
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-14,F:Free,,A:Normal value,77.91
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-15,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-16,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-17,F:Free,,A:Normal value,77.88
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-18,F:Free,,A:Normal value,77.72
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-19,F:Free,,A:Normal value,77.78
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-20,F:Free,,A:Normal value,77.86
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-21,F:Free,,A:Normal value,78.02
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-22,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-23,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-24,F:Free,,A:Normal value,78.13
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-25,F:Free,,A:Normal value,78.06
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-26,F:Free,,A:Normal value,78.08
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-27,F:Free,,A:Normal value,77.98
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-28,F:Free,,A:Normal value,78.05
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-29,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-06-30,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-01,F:Free,,A:Normal value,78.02
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-02,F:Free,,A:Normal value,78.08
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-03,F:Free,,A:Normal value,78.12
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-04,F:Free,,A:Normal value,78.0
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-05,F:Free,,A:Normal value,78.2
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-06,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-07,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-08,F:Free,,A:Normal value,78.4
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-09,F:Free,,A:Normal value,78.24
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-10,F:Free,,A:Normal value,78.19
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-11,F:Free,,A:Normal value,78.25
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-12,F:Free,,A:Normal value,78.2
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-13,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-14,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-15,F:Free,,A:Normal value,78.3
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-16,F:Free,,A:Normal value,78.05
